game_episode,end_x,end_y
153364_46,75.12698,8.049695
153364_47,60.603653,19.671347
153364_48,76.893005,34.94757
153364_49,43.43593,33.906418
153364_50,33.60545,17.539143
153364_52,21.797869,5.851033
153364_53,56.10111,33.977863
153364_54,65.08647,53.776863
153364_55,83.66019,66.94617
153364_56,72.159996,53.2041
153364_57,40.5015,27.68384
153364_58,49.51776,16.65759
153364_59,62.271175,41.440403
153364_61,56.989952,40.59822
153364_62,52.958008,45.952873
153364_63,67.80513,37.68386
153364_65,69.21058,40.642384
153364_66,77.509384,54.11304
153364_67,42.54418,42.208027
153364_68,39.523598,20.02299
153364_69,59.326588,39.447773
153364_70,30.404299,15.607766
153364_71,71.65218,39.3386
153364_73,55.96861,47.53101
153364_74,62.32481,47.417313
153364_75,63.64166,51.863544
153364_76,71.73671,40.283054
153364_78,67.12282,4.0950494
153364_79,50.646557,53.033966
153364_80,55.896343,14.548907
153364_81,60.68262,54.72479
153364_82,70.64275,50.993885
153364_84,54.448147,53.12483
153364_85,62.24585,11.871764
153364_86,47.77266,48.50114
153365_1,38.211876,61.664288
153365_2,39.518715,30.818947
153365_3,17.198402,62.381886
153365_4,55.935585,24.899311
153365_5,34.11191,49.944157
153365_6,63.00665,35.691437
153365_7,25.65695,37.319542
153365_8,32.964993,52.02534
153365_9,10.043362,32.404385
153365_10,30.727102,60.792847
153365_11,41.8787,19.736145
153365_12,27.183416,60.335503
153365_13,22.911648,50.78657
153365_14,52.674767,55.097363
153365_15,16.712627,32.72643
153365_16,33.97591,20.470182
153365_17,62.257484,16.62235
153365_20,72.83096,16.689447
153365_21,74.17359,21.620293
153365_23,33.35796,22.265451
153365_24,72.68087,42.32528
153365_25,86.60709,51.4573
153365_26,14.311193,9.423437
153365_28,71.472755,34.126556
153365_29,67.89348,34.610386
153365_30,59.773365,34.855488
153365_31,80.12808,33.99314
153365_32,36.10392,24.715998
153365_33,42.10422,29.676859
153365_34,42.393833,61.369694
153365_35,63.603447,10.539151
153365_36,28.193579,47.385895
153365_37,63.85699,10.069361
153365_38,84.67112,26.09287
153365_39,39.0528,52.631752
153365_40,85.30162,40.630424
153365_41,30.05796,23.98241
153365_42,52.955067,55.84889
153365_43,46.401936,48.352608
153365_44,45.679836,23.338717
153365_45,58.454014,17.736319
153365_46,76.06616,34.20324
153365_47,53.719593,49.03946
153365_48,76.16358,36.251713
153365_49,27.907635,46.133507
153365_50,52.87447,30.197464
153365_51,80.229935,45.194115
153365_53,25.539925,37.732815
153365_54,37.713615,52.804497
153365_55,31.626867,22.261175
153365_56,76.50032,10.908491
153365_57,89.67496,33.434032
153365_58,51.22327,15.101777
153365_59,82.88476,10.967634
153365_60,80.88693,5.6053114
153365_61,22.928307,52.44882
153365_62,86.77825,50.49757
153365_64,50.474957,51.681118
153365_65,28.833933,17.948124
153365_66,56.66982,17.73745
153365_68,78.219,31.184357
153365_69,38.07728,53.30119
153365_70,60.314716,49.47969
153365_71,22.313114,44.227043
153365_72,83.452805,40.472794
153365_73,80.96329,42.160885
153365_74,18.329283,27.606056
153365_75,22.222029,32.91727
153365_76,40.447212,18.864573
153365_77,72.581406,20.440289
153365_79,64.162056,12.817028
153365_80,79.24032,34.531033
153365_82,63.173023,9.751963
153365_83,32.318733,39.21805
153365_84,64.17488,33.92259
153365_85,45.515827,20.312271
153365_86,64.054054,46.428402
153365_89,25.728928,29.724161
153365_90,67.47196,44.504795
153365_91,68.94346,9.659755
153365_92,81.91773,7.139359
153365_93,74.52955,32.094753
153366_1,82.93629,50.25657
153366_3,75.06133,22.5291
153366_4,20.938923,39.53695
153366_5,39.253384,17.022459
153366_6,70.15286,54.972713
153366_7,24.60934,43.015823
153366_8,22.074167,31.34282
153366_9,31.122658,21.726616
153366_10,54.3985,29.392097
153366_11,58.040257,17.717514
153366_12,43.650497,51.02503
153366_13,35.084976,18.534216
153366_14,83.61371,60.559864
153366_15,83.761635,31.771051
153366_16,36.037796,49.68839
153366_17,20.860184,53.899395
153366_18,53.975914,21.955526
153366_19,66.86927,27.383717
153366_20,63.75027,50.89248
153366_21,27.44023,47.395233
153366_22,48.85862,55.102913
153366_23,17.852932,33.109367
153366_24,48.369663,63.299244
153366_25,63.769196,55.342518
153366_27,80.27417,17.41018
153366_28,28.203548,44.70578
153366_29,5.4571195,31.722439
153366_30,70.779915,11.974081
153366_31,25.284754,29.93866
153366_32,77.58249,9.980196
153366_33,88.77959,45.01528
153366_35,72.52894,54.056297
153366_36,78.60838,47.715027
153366_37,56.17428,11.386256
153366_38,36.661293,10.0460005
153366_39,13.67913,33.90797
153366_40,71.66367,9.576814
153366_41,49.006912,49.30015
153366_42,70.52725,23.225359
153366_43,84.2454,50.29005
153366_44,41.275814,43.88454
153366_46,75.50161,49.31633
153366_47,58.036003,52.59643
153366_48,72.07403,48.083126
153366_49,68.95119,45.405785
153366_50,24.924114,26.192122
153366_51,74.76006,50.089355
153366_52,50.96918,50.49371
153366_53,56.096664,2.28722
153366_54,80.06804,29.55863
153366_55,56.223335,6.936263
153366_56,79.53703,47.86859
153366_57,64.95122,54.89332
153366_58,56.21713,42.414963
153366_59,56.278,39.7543
153366_60,79.535614,45.181034
153366_61,63.943638,45.580727
153366_62,68.88679,54.84443
153366_64,72.23848,43.695557
153366_65,24.692781,36.058434
153366_66,78.989235,8.546921
153366_67,58.83345,42.65063
153366_68,60.657024,7.5446095
153366_69,70.97651,55.62066
153366_71,65.69526,45.919006
153366_72,74.176476,7.6089773
153366_73,68.66013,47.14173
153366_74,28.360106,51.41381
153366_75,53.626514,9.259165
153366_76,41.59557,21.026321
153366_77,33.431225,53.61285
153366_78,63.43951,19.428051
153366_79,83.51857,49.60374
153366_80,42.505898,43.30947
153366_81,49.39,15.832289
153366_82,31.282421,22.975435
153366_83,31.796566,40.584934
153366_84,77.64765,46.20702
153366_85,56.70472,58.867725
153366_86,78.04711,9.749464
153366_88,36.463337,54.456734
153366_89,49.103317,54.701355
153366_90,58.751534,46.23242
153366_92,42.31277,42.041424
153366_93,63.69445,29.769468
153366_94,35.362682,57.739487
153366_95,73.01526,62.13215
153367_1,62.532066,9.821737
153367_2,51.3995,44.82251
153367_3,64.78486,12.4087715
153367_4,76.72163,11.09584
153367_7,40.1894,44.62266
153367_8,40.511383,34.039703
153367_9,69.470116,50.770115
153367_10,36.953365,53.62616
153367_11,43.689983,59.55913
153367_12,73.287865,41.07884
153367_13,30.950985,34.455856
153367_14,80.243866,9.807492
153367_16,81.47034,45.213276
153367_17,27.404325,5.968507
153367_18,48.010273,52.077084
153367_19,26.22938,44.346672
153367_21,28.097975,55.089222
153367_22,38.067184,50.18958
153367_24,14.631734,31.364456
153367_25,67.661224,21.931778
153367_26,70.43109,51.526016
153367_27,33.748257,14.064687
153367_28,16.875315,30.624449
153367_30,16.298798,37.438744
153367_31,63.775368,21.718761
153367_32,84.62372,45.473198
153367_33,25.580278,30.044638
153367_34,69.24147,24.65883
153367_35,18.439064,46.325745
153367_36,56.625206,17.070131
153367_37,80.9043,51.518124
153367_38,81.03102,22.60104
153367_39,79.8237,44.992935
153367_40,22.041752,13.866463
153367_41,38.29315,42.37076
153367_42,21.154028,51.757004
153367_43,45.63295,33.66122
153367_44,30.609055,8.4899645
153367_45,48.832733,56.027096
153367_46,76.10206,50.558105
153367_47,36.17236,32.235435
153367_48,52.576454,6.650628
153367_49,64.47884,20.829262
153367_50,65.54739,59.878983
153367_51,83.50416,52.693356
153367_52,23.889463,45.028606
153367_53,79.54298,41.197605
153367_54,71.738525,45.028107
153367_55,48.323086,16.413956
153367_56,62.598858,54.648968
153367_58,50.131092,34.619972
153367_59,20.552034,19.86855
153367_60,38.41677,49.943577
153367_61,74.56142,20.458597
153367_62,38.993706,49.734318
153367_63,19.475544,32.186043
153367_64,85.54282,42.566887
153367_65,78.28428,46.48753
153367_66,85.800674,52.466175
153367_67,5.8863144,38.041122
153367_68,56.461254,52.08947
153367_69,64.712875,54.230213
153367_70,66.48101,45.174164
153367_71,63.474327,9.959053
153367_72,75.57825,37.401863
153367_73,23.945848,50.93238
153367_74,63.325108,16.378527
153367_75,51.92322,63.78313
153367_76,20.052546,14.250164
153367_77,82.89517,37.601543
153367_78,29.660908,33.500145
153367_79,32.705498,22.527857
153367_80,47.12808,37.028633
153367_81,70.10576,54.452415
153367_82,43.943466,11.419565
153367_83,58.49426,51.11844
153367_84,66.817604,59.95954
153367_85,37.90404,56.61161
153367_87,65.08913,37.394913
153367_89,69.73542,24.188677
153367_90,69.58075,55.81028
153367_92,43.388863,51.16934
153367_93,75.97728,9.367168
153367_94,76.55674,42.276386
153367_95,78.12123,40.867256
153367_96,54.228657,51.463528
153367_97,30.617214,13.50975
153367_98,57.128716,18.15849
153367_99,73.20418,43.949963
153367_101,91.10309,48.316425
153367_102,18.728336,38.14621
153367_103,18.38951,12.864073
153367_104,76.02374,47.46971
153367_106,76.98048,19.301489
153367_107,51.794643,45.00781
153367_108,43.006786,19.449722
153367_109,30.164196,17.541113
153367_110,61.63174,45.065907
153367_111,50.38057,44.3507
153368_1,42.130493,37.436337
153368_2,38.604694,42.916706
153368_3,79.841515,36.288506
153368_4,70.94468,40.11543
153368_5,43.38196,42.85957
153368_8,59.89226,54.91615
153368_9,68.023834,46.244026
153368_10,53.473034,51.62613
153368_11,65.78194,31.438875
153368_12,54.40017,9.728011
153368_14,76.31104,51.586082
153368_15,59.89792,30.116322
153368_16,53.975933,19.43907
153368_17,28.48878,20.006683
153368_18,14.527233,17.512987
153368_19,55.946636,20.807032
153368_20,75.05882,47.10111
153368_21,73.445656,47.06752
153368_22,32.85189,44.68342
153368_25,49.708275,43.275055
153368_26,53.838936,3.0368943
153368_27,41.652626,15.507593
153368_28,58.353012,48.21107
153368_29,79.87311,30.291487
153368_30,55.2605,3.2042515
153368_31,66.94197,8.203786
153368_32,40.751278,55.254303
153368_33,57.091503,61.331165
153368_34,79.032036,18.618574
153368_36,60.31332,52.32686
153368_37,15.406851,17.921627
153368_38,33.988632,52.647858
153368_39,70.124855,58.77141
153368_41,53.339546,19.976295
153368_42,68.66187,22.521816
153368_44,49.140305,17.267103
153368_45,79.96263,22.454172
153368_46,72.68048,53.993294
153368_47,52.684174,48.84507
153368_48,41.345425,21.892063
153368_49,84.4664,19.106224
153368_51,50.35126,16.976841
153368_52,58.257545,41.296333
153368_53,15.624969,53.794132
153368_54,77.924965,44.04886
153368_55,7.1141887,30.055635
153368_57,54.65329,45.61473
153368_58,53.00107,46.65323
153368_59,46.467903,44.15425
153368_60,70.46978,40.09755
153368_61,67.466675,17.804256
153368_62,16.278412,51.577522
153368_63,31.009161,54.323833
153368_64,71.368614,44.294662
153368_65,76.58461,37.70199
153368_66,31.272606,30.01103
153368_68,55.907135,6.535465
153368_69,81.82969,51.728714
153368_70,81.6577,41.024628
153368_71,69.845146,41.433796
153368_73,75.6981,38.998287
153368_74,67.03083,26.530281
153368_75,22.075281,49.243557
153368_76,78.783455,42.50504
153368_77,57.837788,24.83494
153368_78,77.55652,12.598331
153368_79,44.981236,55.82953
153368_80,75.145546,35.530117
153368_81,79.86824,37.35958
153368_82,67.692444,54.456684
153368_84,75.9528,41.2355
153368_85,49.020092,45.630264
153368_86,47.827305,14.542605
153369_1,78.82512,56.17761
153369_2,75.61754,48.752934
153369_3,70.661804,49.77964
153369_4,14.624531,8.13404
153369_5,18.832272,54.238876
153369_7,52.547916,18.610985
153369_10,39.770603,51.63926
153369_11,81.047966,14.372193
153369_12,75.5883,43.35555
153369_13,73.77934,40.639854
153369_14,22.658636,52.937218
153369_15,70.5409,18.535246
153369_16,59.653313,56.895256
153369_17,67.22514,51.98163
153369_18,56.448555,9.105345
153369_19,59.599842,39.137836
153369_20,51.94402,40.753082
153369_21,31.032755,46.49703
153369_22,33.52864,41.353714
153369_23,68.18509,62.75291
153369_24,51.87967,51.461487
153369_25,46.38593,22.368336
153369_26,68.01304,56.84692
153369_27,77.89325,27.666101
153369_28,61.647163,39.496796
153369_29,15.312823,33.18751
153369_30,67.357506,13.190925
153369_31,61.655342,24.608498
153369_33,27.347883,38.96164
153369_34,70.42534,54.98248
153369_35,76.451,27.95243
153369_37,69.32405,7.2787113
153369_38,86.55389,10.0210085
153369_39,64.39984,12.985758
153369_41,92.48527,32.458977
153369_42,30.071138,34.920395
153369_43,56.48989,15.153859
153369_44,68.08302,57.258846
153369_45,48.64264,27.497526
153369_46,70.49918,41.036327
153369_50,78.57868,16.480091
153369_51,38.776375,56.008167
153369_52,55.31784,61.52952
153369_54,49.1104,57.852192
153369_55,55.498955,12.266985
153369_56,63.406254,23.941334
153369_57,65.64978,11.995851
153369_58,17.93288,28.113039
153369_60,81.83936,15.188736
153369_62,74.279976,48.788277
153369_63,39.983295,60.180233
153369_65,50.845688,14.398411
153369_66,74.261086,17.057056
153369_67,89.164764,39.40011
153369_68,80.940956,51.920605
153369_69,71.948326,27.76054
153369_70,69.033134,29.78055
153369_71,63.01217,23.563683
153369_72,69.36303,19.746712
153369_73,15.32039,49.636295
153369_76,7.0996003,15.588853
153369_77,63.92726,10.155741
153369_78,29.434488,27.41887
153369_80,52.577454,52.292652
153369_82,32.05434,21.670658
153369_83,67.47848,46.960876
153369_84,72.544495,14.507624
153369_85,71.251236,55.146904
153369_86,78.81294,28.90545
153369_88,38.041782,37.00597
153370_1,24.301807,32.29277
153370_2,31.900694,14.891349
153370_3,48.80733,13.855831
153370_4,52.48855,11.37249
153370_5,74.09506,21.205751
153370_6,62.057842,16.327593
153370_7,20.438944,33.382507
153370_8,81.13573,32.141724
153370_9,34.119686,51.864883
153370_10,33.257946,34.349564
153370_11,64.870605,33.28442
153370_12,42.491234,28.189295
153370_13,53.755745,54.5494
153370_14,78.369156,21.81119
153370_16,55.191875,12.736416
153370_17,43.20943,51.66368
153370_18,33.85985,18.902546
153370_19,59.723927,3.7406976
153370_20,52.642654,56.918446
153370_21,34.237965,42.966133
153370_22,66.71088,29.223326
153370_23,52.32814,26.255922
153370_24,33.769726,28.082684
153370_25,57.690914,39.83358
153370_26,56.882313,9.097521
153370_27,50.748917,4.3132305
153370_28,74.03211,19.505482
153370_30,57.155766,46.643745
153370_31,42.86892,26.557207
153370_32,41.224594,38.279556
153370_33,84.94271,44.401455
153370_35,60.660316,40.03563
153370_36,75.561134,8.077175
153370_37,36.099747,52.238453
153370_38,13.708119,51.772415
153370_39,7.616664,31.771683
153370_40,60.858162,41.465572
153370_41,90.0748,13.25911
153370_42,17.025953,53.91275
153370_43,81.92901,40.116943
153370_44,26.975077,21.534086
153370_45,67.84549,31.049065
153370_46,75.66976,7.2061157
153370_47,83.62725,16.723974
153370_49,60.945766,25.686533
153370_50,47.30205,33.45826
153370_51,64.057816,40.62631
153370_53,9.692367,48.29862
153370_54,55.341114,55.952785
153370_55,34.419296,49.27685
153370_56,24.780485,60.39371
153370_57,20.023663,32.822063
153370_58,42.693405,41.343292
153370_59,46.522205,21.828957
153370_60,82.29995,4.14345
153370_61,91.7149,44.56254
153370_63,64.36118,11.461062
153370_64,78.94078,54.234715
153370_65,75.80855,10.320741
153370_66,44.53105,13.892428
153370_67,35.926716,9.977942
153370_68,64.4162,38.37518
153370_69,34.583447,45.77465
153370_70,37.62699,24.040834
153370_71,45.16742,35.633022
153370_72,49.002758,9.968642
153370_73,59.61705,56.146408
153370_74,47.0999,30.829794
153370_75,64.2899,42.87385
153370_76,79.86271,12.782101
153370_78,38.853836,37.22062
153370_79,34.126408,33.02274
153370_80,45.98554,19.635563
153370_81,41.242496,31.976782
153370_83,42.595047,19.605492
153370_85,20.185522,30.46426
153370_86,65.24777,17.63737
153370_88,22.130539,36.029324
153370_89,80.19571,11.685926
153370_90,74.32726,41.443905
153370_91,78.48574,29.887043
153370_92,63.08456,49.829147
153371_1,68.183464,6.7386374
153371_2,11.02856,11.02022
153371_3,54.64282,18.353819
153371_4,57.864075,53.21176
153371_5,54.695477,54.611637
153371_6,69.39134,42.128544
153371_7,52.216354,23.36952
153371_8,65.45331,11.708943
153371_9,54.764515,11.967415
153371_10,39.009914,5.8688107
153371_11,48.920586,24.219036
153371_12,56.868725,55.32304
153371_13,70.98931,41.161213
153371_14,79.6613,27.962032
153371_15,56.853756,30.394373
153371_16,52.0785,45.524055
153371_17,50.098736,39.962154
153371_18,51.643,48.586044
153371_19,46.531326,46.24833
153371_20,37.646706,33.077015
153371_21,47.654846,18.516539
153371_22,42.016045,16.360466
153371_23,57.41839,43.048737
153371_24,85.44662,43.902378
153371_25,84.62896,30.650837
153371_26,14.938525,18.26491
153371_27,54.89926,34.325077
153371_28,81.53581,4.624453
153371_29,16.400394,32.18269
153371_30,68.59847,24.61643
153371_31,52.053333,54.157417
153371_32,68.32385,34.772694
153371_34,87.56271,28.437386
153371_35,46.403393,22.77929
153371_36,51.85009,9.683279
153371_37,84.51774,14.515584
153371_38,79.62447,20.870478
153371_39,20.98035,35.273262
153371_40,45.524216,29.725248
153371_41,75.52415,20.599588
153371_42,77.93452,43.251595
153371_43,27.677908,21.425743
153371_44,32.631397,37.07814
153371_45,67.2769,18.933414
153371_48,18.526468,28.91098
153371_49,73.73063,22.223818
153371_50,55.364246,15.997533
153371_51,61.875874,62.99385
153371_52,72.34793,54.51774
153371_53,69.72062,32.494656
153371_54,45.67075,14.192111
153371_55,51.965405,24.253267
153371_56,19.031542,41.62225
153371_57,53.73157,39.112503
153371_58,59.05195,9.53903
153371_60,86.87563,43.209694
153371_61,73.23815,49.49804
153371_62,82.36745,46.62587
153371_63,43.351154,20.477547
153371_64,44.923,50.967865
153371_65,33.4355,17.564074
153371_66,46.81192,34.090416
153371_67,76.20239,56.981087
153371_68,80.52802,51.588715
153371_69,84.94687,52.872257
153371_70,88.295685,65.367294
153371_71,42.64997,22.406322
153371_72,58.35339,19.68269
153371_73,68.96109,12.069264
153371_74,58.28527,34.059357
153371_75,59.794743,55.91499
153371_76,47.18513,50.937283
153371_77,61.64564,52.33526
153371_78,70.58714,51.55915
153371_79,35.808254,53.532436
153371_80,67.14997,12.710102
153371_81,45.935947,18.909147
153371_82,40.706047,50.642597
153371_83,58.97984,20.191677
153371_84,51.150665,45.244236
153371_85,69.00971,44.702812
153371_86,68.496475,25.970846
153371_87,52.74567,53.4606
153371_88,43.59652,1.9248328
153372_1,37.950676,32.954857
153372_2,23.363966,19.789742
153372_3,52.360405,16.39653
153372_4,34.10135,20.785894
153372_5,44.422764,13.800458
153372_6,16.274492,19.343843
153372_7,79.94043,54.89514
153372_9,71.68506,44.9754
153372_10,62.348255,9.056136
153372_11,42.78416,12.746568
153372_12,58.937386,54.202293
153372_13,44.410713,24.81267
153372_14,81.95282,16.023375
153372_16,48.677006,55.184193
153372_17,50.58936,45.611797
153372_18,71.97173,34.06685
153372_19,74.1689,44.627586
153372_20,45.80725,55.893158
153372_21,74.15751,54.36715
153372_22,75.31164,16.019567
153372_24,38.36458,58.168842
153372_25,68.91803,28.054184
153372_26,34.30969,54.55942
153372_27,36.936817,35.122227
153372_28,54.932804,19.339981
153372_29,70.60444,34.098312
153372_30,69.186325,52.821793
153372_31,63.475636,10.674136
153372_32,43.422546,31.705566
153372_33,75.27686,35.88393
153372_34,66.04047,39.637222
153372_35,18.21244,35.811535
153372_36,77.36404,24.420784
153372_38,29.034492,5.1399956
153372_39,76.73239,53.869484
153372_40,78.036026,52.915623
153372_41,16.851387,27.7071
153372_42,71.26557,46.08949
153372_43,40.42535,12.22365
153372_44,69.04503,34.811733
153372_45,41.490757,35.27825
153372_46,81.72499,12.684621
153372_47,75.290344,54.109604
153372_48,65.937874,27.151428
153372_49,41.333492,22.62736
153372_50,18.154942,22.50662
153372_51,26.576014,19.150217
153372_52,69.974396,55.727055
153372_53,21.863955,51.525997
153372_54,54.3432,14.2293215
153372_55,74.57517,39.203857
153372_56,57.501934,56.95092
153372_57,28.030268,22.748684
153372_58,47.219433,43.025333
153372_59,22.925522,44.302208
153372_60,51.12732,43.254665
153372_61,86.16712,21.598038
153372_62,46.941624,12.381537
153372_63,66.10842,19.030088
153372_64,69.24237,23.93953
153372_65,41.18003,31.618252
153372_66,66.65893,55.71465
153372_67,73.92137,47.202953
153372_68,46.80627,49.711506
153372_69,62.598133,42.17087
153372_70,30.578571,22.274248
153372_71,75.36529,39.09557
153372_72,54.442333,47.19149
153372_73,7.2318516,11.141464
153372_74,73.11482,13.989037
153372_75,83.52863,4.6226234
153372_76,23.791914,37.103054
153372_77,75.13859,36.46591
153372_79,58.51228,48.04792
153372_80,81.93433,44.84768
153372_82,66.18162,48.81274
153372_83,20.99841,28.504402
153372_84,79.59104,45.36651
153372_85,33.514503,41.256542
153372_86,46.554905,38.954067
153372_87,49.956356,58.618496
153372_88,16.561003,33.412895
153372_89,49.181305,60.145557
153372_90,39.182156,49.76188
153372_91,40.559544,32.429882
153372_92,28.558037,35.51465
153372_93,76.05917,43.011505
153372_94,80.6833,37.176144
153372_95,62.2807,45.063515
153372_96,37.758556,36.105976
153372_97,43.326557,55.44544
153373_1,32.05821,24.66258
153373_2,43.92098,12.2227955
153373_3,53.309303,42.03702
153373_4,69.60499,3.142028
153373_5,26.547253,28.370049
153373_6,19.585945,48.686092
153373_7,30.632124,15.200076
153373_8,24.672604,27.826258
153373_9,69.22363,34.802277
153373_10,15.426771,24.36048
153373_13,23.644144,24.85855
153373_14,47.108986,42.367477
153373_15,58.057487,11.828057
153373_16,44.740295,19.877546
153373_17,58.393467,13.406922
153373_18,35.716614,57.62482
153373_19,15.673002,46.29469
153373_20,29.156614,19.432692
153373_21,61.166668,2.7103043
153373_22,58.4162,52.91954
153373_23,78.699745,25.878103
153373_24,87.0909,36.438747
153373_25,62.88592,10.16991
153373_26,59.824245,10.220079
153373_27,44.502903,8.77505
153373_28,71.21644,58.59982
153373_29,55.042046,44.297596
153373_30,21.290346,7.9412313
153373_31,53.132557,20.24772
153373_32,22.960047,52.495106
153373_34,25.11482,31.917225
153373_35,62.793053,50.496464
153373_36,65.76867,51.147545
153373_37,34.263798,16.537441
153373_38,60.379948,47.572216
153373_40,41.27971,26.152327
153373_41,91.25666,25.732311
153373_44,57.10519,54.435772
153373_45,61.65937,7.3910513
153373_46,49.201477,40.511898
153373_47,43.301254,55.574173
153373_49,15.93114,50.072277
153373_50,25.759874,54.168766
153373_51,66.69187,3.6207173
153373_52,78.85852,13.667166
153373_54,43.678665,52.646282
153373_55,40.18375,15.080353
153373_56,42.260544,37.6967
153373_57,78.91356,51.34423
153373_58,75.74549,45.747112
153373_60,81.601295,53.710335
153373_61,15.905415,13.678429
153373_63,27.296156,50.751392
153373_64,55.016376,50.030033
153373_65,51.80787,12.694963
153373_66,70.61969,11.968247
153373_67,46.020657,23.668179
153373_68,47.985264,24.183802
153373_70,60.096615,59.999287
153373_71,44.862312,55.31096
153373_72,32.029465,25.720383
153373_73,50.51747,36.81955
153373_76,86.65681,58.356956
153373_77,71.39978,57.848396
153373_78,43.75616,29.787605
153373_79,29.475643,45.75662
153373_80,77.70905,44.47065
153373_81,21.796667,21.18462
153373_82,70.81178,7.7901573
153373_83,75.18862,4.379799
153373_84,58.93611,36.44851
153373_86,57.663128,27.739918
153373_87,80.43334,39.646805
153373_88,61.321712,43.895935
153373_89,60.17561,56.950783
153373_90,46.914444,53.66954
153373_91,56.635597,56.49337
153373_92,68.86827,32.844223
153373_93,61.10741,43.228607
153373_94,69.54633,15.022323
153373_95,44.8301,36.242928
153373_96,73.4947,3.7516248
153373_98,31.925215,28.079046
153373_99,66.44955,8.078857
153374_1,60.84503,37.281727
153374_2,40.442734,30.505749
153374_3,47.634247,28.577234
153374_4,19.106447,34.970535
153374_5,36.565956,13.269126
153374_6,71.68959,22.54364
153374_7,55.52193,46.505413
153374_8,74.73173,63.17519
153374_9,34.683445,46.972122
153374_11,34.969444,30.401949
153374_12,86.67523,48.404972
153374_14,30.108213,42.449486
153374_15,19.379805,40.866875
153374_16,26.851631,42.30951
153374_18,31.309605,46.16354
153374_19,61.150124,6.8890243
153374_20,65.66832,23.309732
153374_22,47.07176,34.17399
153374_23,13.550255,25.862562
153374_24,61.496643,57.2031
153374_25,85.41469,53.76117
153374_26,65.65738,35.215652
153374_27,13.979121,58.02478
153374_28,77.24345,54.300846
153374_30,67.2515,12.575053
153374_31,80.52491,11.254388
153374_32,34.860237,54.659607
