선행품목,후행품목,선행품목hs4,후행품목hs4,최적지연기간,피어슨상관계수,피어슨p값
APQGTRMF,DUCMGGNW,8105,3806,6,0.503955099264146,0.0017263896992991694
APQGTRMF,FDXPMYGF,8105,7907,5,0.41357606288257975,0.010946478701161768
APQGTRMF,GYHKIVQT,8105,8505,3,0.5000471793356716,0.0011891533981004633
APQGTRMF,HXYSSRXE,8105,2836,6,0.49307629621166926,0.002247079326951394
APQGTRMF,JPBRUTWP,8105,3904,1,0.4758600996245169,0.0016629939242991533
APQGTRMF,KEUWZRKO,8105,8102,9,0.5308582651904276,0.0014810226031696674
APQGTRMF,LUENUFGA,8105,2833,11,0.41956372512949014,0.018792302701573532
APQGTRMF,OGAFEHLU,8105,7202,10,0.4680079149023535,0.006908561034060514
APQGTRMF,OKMBFVKS,8105,5705,1,0.5374526186018729,0.00029063650857155595
APQGTRMF,OXKURKXR,8105,5402,2,0.4182023173943879,0.007244722220511169
APQGTRMF,PYZMVUWD,8105,3824,11,0.5436567291369065,0.0015724047987238133
APQGTRMF,QKXNTIIB,8105,8501,7,0.43829164843576596,0.00845015018790308
APQGTRMF,QRKRBYJL,8105,2841,1,0.48646645643410436,0.0012598946396889027
APQGTRMF,QVLMOEYE,8105,4202,1,0.4940694367519703,0.0010268697586229814
APQGTRMF,RAWUKQMJ,8105,2916,4,0.5088829983920982,0.001104132472550224
APQGTRMF,RCBZUSIM,8105,2805,2,0.5140104742342716,0.0006921651304509276
APQGTRMF,SAHWCZNH,8105,2825,9,0.5302939719845101,0.0015016155181248262
APQGTRMF,SDWAYPIK,8105,7207,10,0.4345360715354848,0.01294878922206616
APQGTRMF,UGEQLMXM,8105,8714,12,0.5115813880574651,0.003858098082499333
APQGTRMF,UIFPPCLR,8105,8102,1,0.5000738360400736,0.0008707903781915079
APQGTRMF,VMAQSTJE,8105,8527,8,0.5113639514163422,0.001995733263451105
APQGTRMF,WBLJNPZQ,8105,5309,5,0.47719331572681123,0.0028229605328336732
APQGTRMF,WHPUAOID,8105,5512,3,0.5302323493634541,0.0005167525899085366
APQGTRMF,XIFHSOWQ,8105,8708,11,0.5158917978863077,0.0029721905996319114
APQGTRMF,XUOIQPFL,8105,5205,10,0.46777209354393734,0.0069407120445183655
ATLDMDBO,APQGTRMF,2814,8105,5,0.49982845749669025,0.0016334841825208493
ATLDMDBO,AXULOHBQ,2814,5515,7,0.747085110956555,2.534741175700667e-07
ATLDMDBO,BJALXPFS,2814,2847,8,0.45865791410094053,0.006367828034112147
ATLDMDBO,BLANHGYY,2814,9022,3,0.507196168604523,0.0009828798246914502
ATLDMDBO,BSRMSVTC,2814,2805,12,0.49622404537172415,0.005287811385392855
ATLDMDBO,BTMOEMEP,2814,3102,1,0.6891454873045106,6.289888662905742e-07
ATLDMDBO,DBWLZWNK,2814,5602,3,0.5317660872345965,0.0004942888437331227
ATLDMDBO,DNMPSKTB,2814,2811,8,0.7725717521230426,8.648625643812807e-08
ATLDMDBO,FDXPMYGF,2814,7907,7,0.430308283974164,0.009873633195046756
ATLDMDBO,GYHKIVQT,2814,8505,7,0.756829545366624,1.435921691147458e-07
ATLDMDBO,HXYSSRXE,2814,2836,8,0.6166571302964116,0.00010288287061724284
ATLDMDBO,IGDVVKUD,2814,3824,2,0.4823913062865092,0.0016200936091196874
ATLDMDBO,JPBRUTWP,2814,3904,5,0.6609365284186288,8.485700410651082e-06
ATLDMDBO,KEUWZRKO,2814,8102,12,0.5382635978863823,0.002152929182345783
ATLDMDBO,LRVGFDFM,2814,3102,1,0.5571876389405577,0.000154342956153418
ATLDMDBO,LUENUFGA,2814,2833,12,0.4378524300904578,0.015524400596182795
ATLDMDBO,OGAFEHLU,2814,7202,9,0.5309704511030373,0.0014769581551109252
ATLDMDBO,OKMBFVKS,2814,5705,12,0.48649335899758006,0.006410072613737149
ATLDMDBO,OXKURKXR,2814,5402,2,0.5492928742580846,0.00024185726658327282
ATLDMDBO,PYZMVUWD,2814,3824,11,0.4742984694510158,0.007024312882836175
ATLDMDBO,QJQJSWFU,2814,3307,12,0.4074115121036203,0.025442344066375175
ATLDMDBO,QRKRBYJL,2814,2841,1,0.8174744182788809,6.941915798700013e-11
ATLDMDBO,QVLMOEYE,2814,4202,3,0.7008666074718826,6.749688543564795e-07
ATLDMDBO,RAWUKQMJ,2814,2916,4,0.6536454025669676,8.601155051048384e-06
ATLDMDBO,RCBZUSIM,2814,2805,1,0.5040177627279694,0.0007801314684096768
ATLDMDBO,SAHWCZNH,2814,2825,11,0.5643140237984889,0.0009440045688721102
ATLDMDBO,SDWAYPIK,2814,7207,12,0.6557415660490997,8.36574234082979e-05
ATLDMDBO,UGEQLMXM,2814,8714,6,0.5722105122499187,0.0002660428017475878
ATLDMDBO,UIFPPCLR,2814,8102,11,0.40343480688863326,0.024414432227509487
ATLDMDBO,VBYCLTYZ,2814,8505,2,0.6707580079268713,2.1794363959473947e-06
ATLDMDBO,VMAQSTJE,2814,8527,8,0.4731623259279561,0.004710403630967801
ATLDMDBO,WBLJNPZQ,2814,5309,10,0.5057264817105575,0.003149268271600901
ATLDMDBO,XIFHSOWQ,2814,8708,11,0.5398551798851192,0.0017211587713969322
ATLDMDBO,XUOIQPFL,2814,5205,1,0.5074681775632327,0.0007078217627345057
AXULOHBQ,BJALXPFS,5515,2847,1,0.48146822281150947,0.0014375570623372824
AXULOHBQ,BSRMSVTC,5515,2805,3,0.5809635046916263,0.00010537928284507091
AXULOHBQ,DNMPSKTB,5515,2811,3,0.40631809152782067,0.010267369320201393
AXULOHBQ,FDXPMYGF,5515,7907,1,0.5445453478699915,0.0002325547428764468
AXULOHBQ,HCDTGMST,5515,6006,5,0.4173588364230429,0.010168565947360916
AXULOHBQ,KEUWZRKO,5515,8102,6,0.6332624229514403,3.39541318867089e-05
AXULOHBQ,LSOIUSXD,5515,5111,9,0.4018280537401419,0.020450085529970834
AXULOHBQ,LUENUFGA,5515,2833,7,0.7051111526068521,2.2522938931475135e-06
AXULOHBQ,OGAFEHLU,5515,7202,6,0.6140344456630433,6.800283183270168e-05
AXULOHBQ,OKMBFVKS,5515,5705,5,0.40282435140948447,0.013438934027638353
AXULOHBQ,PYZMVUWD,5515,3824,6,0.6216432665979619,5.1945919985280554e-05
AXULOHBQ,QJQJSWFU,5515,3307,7,0.4679332139234461,0.004587585317813328
AXULOHBQ,SAHWCZNH,5515,2825,6,0.6576026076169459,1.3139214121196787e-05
AXULOHBQ,VMAQSTJE,5515,8527,5,0.5577975054309121,0.00033464675096478083
AXULOHBQ,VWMBASNE,5515,2811,10,0.6792363824240704,1.916535837954838e-05
AXULOHBQ,WBLJNPZQ,5515,5309,3,0.40056471244491076,0.011506151134343725
AXULOHBQ,XIFHSOWQ,5515,8708,8,0.7737286054028729,8.043655797117496e-08
AXULOHBQ,XIPPENFQ,5515,2501,12,0.8130201067547581,4.7862777842754976e-08
AXULOHBQ,XUOIQPFL,5515,5205,3,0.4250872601788804,0.006984579586539519
BEZYMBBT,ATLDMDBO,3207,2814,6,0.4209397798492539,0.010572308395915655
BEZYMBBT,BLANHGYY,3207,9022,10,0.4624148878614166,0.007706203333485205
BEZYMBBT,DBWLZWNK,3207,5602,3,0.47809648700997853,0.0020816855316041914
BEZYMBBT,GYHKIVQT,3207,8505,5,0.5035507312759272,0.0014875667973632566
BEZYMBBT,HXYSSRXE,3207,2836,6,0.604988521718579,9.283630131588807e-05
BEZYMBBT,JPBRUTWP,3207,3904,8,0.4411000274988822,0.009020747329541588
BEZYMBBT,KEUWZRKO,3207,8102,9,0.4691467126001544,0.005883905516179191
BEZYMBBT,OKMBFVKS,3207,5705,6,0.47105208752606936,0.003735148640653187
BEZYMBBT,PYZMVUWD,3207,3824,11,0.4276557784588717,0.016404045657408297
BEZYMBBT,QRKRBYJL,3207,2841,6,0.45420447189411145,0.005391156508881507
BEZYMBBT,RAWUKQMJ,3207,2916,1,0.4353750251227558,0.004441290343930569
BEZYMBBT,RCBZUSIM,3207,2805,6,0.4321991656405936,0.008478726691704838
BEZYMBBT,SDWAYPIK,3207,7207,10,0.5199676376000197,0.0022862391509341972
BEZYMBBT,UIFPPCLR,3207,8102,11,0.46323155919795445,0.00868050853065586
BEZYMBBT,VBYCLTYZ,3207,8505,8,0.525295632165095,0.0014226721777634897
BEZYMBBT,WBLJNPZQ,3207,5309,5,0.43253306102504535,0.007502794792754557
BJALXPFS,APQGTRMF,2847,8105,11,0.42611395581340344,0.01683850856457088
BJALXPFS,ATLDMDBO,2847,2814,12,0.5583503071785215,0.001343497679958608
BJALXPFS,AXULOHBQ,2847,5515,9,0.46737536302598115,0.006099537307905835
BJALXPFS,BEZYMBBT,2847,3207,12,0.4897993606237932,0.006008024508530372
BJALXPFS,DNMPSKTB,2847,2811,2,0.5272831788118117,0.00047234057903329925
BJALXPFS,FDXPMYGF,2847,7907,11,0.46906289107478705,0.00777085209765414
BJALXPFS,GYHKIVQT,2847,8505,5,0.47806007942913803,0.0027662998314365397
BJALXPFS,HXYSSRXE,2847,2836,12,0.4234161843842835,0.019727722109200575
BJALXPFS,KEUWZRKO,2847,8102,5,0.4324357860912462,0.007517756816635967
BJALXPFS,OGAFEHLU,2847,7202,5,0.49502589507185607,0.0018402607722142938
BJALXPFS,QRKRBYJL,2847,2841,3,0.5418433648895709,0.00036715393372255446
BJALXPFS,QVLMOEYE,2847,4202,5,0.4333447375789267,0.0073789414852717655
BJALXPFS,RCBZUSIM,2847,2805,4,0.4159465952093745,0.0093962671749028
BJALXPFS,SDWAYPIK,2847,7207,5,0.5163301398684345,0.0010700932712670512
BJALXPFS,SNHYOVBM,2847,3824,5,0.4501201726506706,0.005184110773990708
BJALXPFS,UGEQLMXM,2847,8714,8,0.4868135216939684,0.003504432780547743
BJALXPFS,UIFPPCLR,2847,8102,7,0.5055457508268395,0.001948979735239373
BJALXPFS,VMAQSTJE,2847,8527,4,0.4177872389934614,0.009055306284803073
BJALXPFS,VWMBASNE,2847,2811,9,0.4918968659860565,0.0036433921938662
BJALXPFS,WBLJNPZQ,2847,5309,12,0.40101268875895846,0.02807651738279716
BJALXPFS,XIPPENFQ,2847,2501,10,0.44983090071592924,0.00979104996483361
BJALXPFS,XUOIQPFL,2847,5205,12,0.5628229655807553,0.0012046814989963752
BLANHGYY,AXULOHBQ,9022,5515,2,0.49129614508631236,0.0012855001274594908
BLANHGYY,BJALXPFS,9022,2847,1,0.4098627508095963,0.007784230970014268
BLANHGYY,BSRMSVTC,9022,2805,3,0.8611782996448394,2.0070113208283245e-12
BLANHGYY,DNMPSKTB,9022,2811,5,0.4394434157106882,0.006503168058783857
BLANHGYY,FDXPMYGF,9022,7907,1,0.7107400420851211,1.9243242570080766e-07
BLANHGYY,FITUEHWN,9022,8714,5,0.4191574356238329,0.009815519150803198
BLANHGYY,HCDTGMST,9022,6006,5,0.5899156802073389,0.000121762100762689
BLANHGYY,HXYSSRXE,9022,2836,2,0.4465891892937117,0.003868497341022144
BLANHGYY,JBVHSUWY,9022,1210,4,0.45983871019079847,0.0036773922792159115
BLANHGYY,JPBRUTWP,9022,3904,7,0.5130735260638226,0.0016227316260716015
BLANHGYY,KEUWZRKO,9022,8102,6,0.6490354343436787,1.8528007189009675e-05
BLANHGYY,LRVGFDFM,9022,3102,5,0.4392062223706133,0.0065354777323791335
BLANHGYY,LSOIUSXD,9022,5111,7,0.4378365030766159,0.008526317113275578
BLANHGYY,LUENUFGA,9022,2833,10,0.5742388477924277,0.0005886785317310071
BLANHGYY,OGAFEHLU,9022,7202,6,0.7175368272133239,8.436799991558624e-07
BLANHGYY,PYZMVUWD,9022,3824,10,0.46829065540956827,0.006870180579764948
BLANHGYY,QJQJSWFU,9022,3307,11,0.579471143896004,0.0006353020294334413
BLANHGYY,SAHWCZNH,9022,2825,6,0.5305209754965202,0.0008734325342075543
BLANHGYY,SDWAYPIK,9022,7207,12,0.4108081303648042,0.02412837567928819
BLANHGYY,STZDBITS,9022,3815,8,0.43914287824052944,0.009367608429181369
BLANHGYY,SUOYXCHP,9022,2805,3,0.6185512598939537,2.7068301594812867e-05
BLANHGYY,TGOELCAG,9022,7207,5,0.4623661266739432,0.003961719061288921
BLANHGYY,UIFPPCLR,9022,8102,8,0.5083324026392735,0.00214426023049655
BLANHGYY,UQYUIVVR,9022,8501,1,0.4637817884626855,0.002257314255220063
BLANHGYY,VMAQSTJE,9022,8527,5,0.7247732395901189,3.925928020247382e-07
BLANHGYY,VWMBASNE,9022,2811,10,0.746533971306394,9.288517374884565e-07
BLANHGYY,WBLJNPZQ,9022,5309,2,0.4811132440545904,0.0016739421534470837
BLANHGYY,WQMVCOEM,9022,2805,2,0.4390854636609685,0.004589893005102985
BLANHGYY,XIFHSOWQ,9022,8708,8,0.7603671634382334,1.8132212096260223e-07
BLANHGYY,XIPPENFQ,9022,2501,12,0.7152235315288058,8.926201228956952e-06
BLANHGYY,XUOIQPFL,9022,5205,5,0.42932049346498213,0.008010641183842057
BLANHGYY,YSYHGLQK,9022,2807,3,0.43187659808833534,0.006043781542438327
BSRMSVTC,BEZYMBBT,2805,3207,4,0.45900500346196804,0.0037478229381866703
BSRMSVTC,BTMOEMEP,2805,3102,12,0.4068546850347817,0.025663228066915428
BSRMSVTC,FITUEHWN,2805,8714,2,0.5098953434349103,0.0007767950808077944
BSRMSVTC,HCDTGMST,2805,6006,2,0.4853629325367402,0.0015007611341242523
BSRMSVTC,JBVHSUWY,2805,1210,1,0.40270969642657084,0.009043051386099397
BSRMSVTC,JPBRUTWP,2805,3904,4,0.4905541046360644,0.0017673791368468927
BSRMSVTC,KEUWZRKO,2805,8102,3,0.537437966194062,0.0004185992146007474
BSRMSVTC,LSOIUSXD,2805,5111,4,0.533073759034356,0.0005692902341392942
BSRMSVTC,LUENUFGA,2805,2833,4,0.5198954956939106,0.0008216665245843445
BSRMSVTC,MBSBZBXA,2805,2846,12,0.5019580160227584,0.004708556506291047
BSRMSVTC,MIRCVAMV,2805,4408,12,0.545923104641096,0.0018048057387500638
BSRMSVTC,OGAFEHLU,2805,7202,3,0.6115743540157498,3.529741085014899e-05
BSRMSVTC,PYZMVUWD,2805,3824,3,0.44225704892553236,0.00481708428472081
BSRMSVTC,STZDBITS,2805,3815,5,0.47363003197701403,0.003066672582069017
BSRMSVTC,TGOELCAG,2805,7207,2,0.4763382783821423,0.001889364604133152
BSRMSVTC,UIFPPCLR,2805,8102,5,0.4567686060845396,0.004485289906454091
BSRMSVTC,UXSPKBJR,2805,3206,12,0.5066675189052521,0.004274232079186084
BSRMSVTC,VMAQSTJE,2805,8527,2,0.6725710761582007,1.9983446063166732e-06
BSRMSVTC,VWMBASNE,2805,2811,7,0.6399159254867446,3.483937399776851e-05
BSRMSVTC,WBLJNPZQ,2805,5309,11,0.41967089944702857,0.018758887500434345
BSRMSVTC,XIFHSOWQ,2805,8708,5,0.6249592374678353,3.550556215298898e-05
BSRMSVTC,XIPPENFQ,2805,2501,9,0.5405022475383161,0.0011653326763103823
BSRMSVTC,XUOIQPFL,2805,5205,2,0.4674816065347834,0.0023543357605012695
BSRMSVTC,YSYHGLQK,2805,2807,7,0.4164748578798106,0.012822924070220384
BTMOEMEP,APQGTRMF,3102,8105,8,0.4610687420979497,0.006061946754263098
BTMOEMEP,ATLDMDBO,3102,2814,6,0.6958393184357474,2.458847368798351e-06
BTMOEMEP,AXULOHBQ,3102,5515,11,0.687197443711971,1.953099992039903e-05
BTMOEMEP,BEZYMBBT,3102,3207,9,0.43215215170807675,0.012021533426397451
BTMOEMEP,BJALXPFS,3102,2847,9,0.6011714402203465,0.0002157050665952603
BTMOEMEP,BLANHGYY,3102,9022,9,0.6693699579965577,2.0486672238323404e-05
BTMOEMEP,BSRMSVTC,3102,2805,12,0.813256030837637,4.709755079602334e-08
BTMOEMEP,DBWLZWNK,3102,5602,2,0.47128741454414824,0.0021434715462142493
BTMOEMEP,DJBLNPNC,3102,2805,7,0.4929993116701649,0.0026210473133199057
BTMOEMEP,DNMPSKTB,3102,2811,7,0.650003557693654,2.3790334235315058e-05
BTMOEMEP,FDXPMYGF,3102,7907,10,0.6466312751582048,6.37096836050687e-05
BTMOEMEP,GYHKIVQT,3102,8505,12,0.6447854828081947,0.00011994375703725896
BTMOEMEP,HXYSSRXE,3102,2836,7,0.6947865851390546,3.6428957305331537e-06
BTMOEMEP,IGDVVKUD,3102,3824,6,0.5976407688345725,0.00011872648277524369
BTMOEMEP,JBVHSUWY,3102,1210,6,0.5024080865002346,0.0017932769871135787
BTMOEMEP,JPBRUTWP,3102,3904,9,0.6144097185295583,0.0001425159442938152
BTMOEMEP,KEUWZRKO,3102,8102,12,0.44623707520055284,0.01344546626670047
BTMOEMEP,LRVGFDFM,3102,3102,4,0.5033214702530269,0.0012770670745254778
BTMOEMEP,LSOIUSXD,3102,5111,9,0.4396483853649815,0.010465141917267107
BTMOEMEP,OGAFEHLU,3102,7202,9,0.4852019569132153,0.004209390325504086
BTMOEMEP,OKMBFVKS,3102,5705,4,0.49808522546806183,0.0014613239856838954
BTMOEMEP,OXKURKXR,3102,5402,8,0.4712476931990416,0.004905266681615534
BTMOEMEP,PYZMVUWD,3102,3824,12,0.629119556895132,0.00019607687273653733
BTMOEMEP,QRKRBYJL,3102,2841,12,0.6498368444436908,0.00010176503937006671
BTMOEMEP,QVLMOEYE,3102,4202,7,0.6801244322874185,6.977385067761269e-06
BTMOEMEP,RAWUKQMJ,3102,2916,4,0.5764970325592387,0.00015179329931271483
BTMOEMEP,RCBZUSIM,3102,2805,5,0.6386313942879818,2.1057912888037467e-05
BTMOEMEP,SAHWCZNH,3102,2825,12,0.596587708159933,0.0005020477720364288
BTMOEMEP,SDWAYPIK,3102,7207,2,0.5590119871930995,0.00017727846349695298
BTMOEMEP,SUOYXCHP,3102,2805,12,0.7192897151058344,7.506555948581345e-06
BTMOEMEP,TGOELCAG,3102,7207,11,0.4366927482432996,0.014040853888242114
BTMOEMEP,UGEQLMXM,3102,8714,2,0.5262892792358126,0.0004863161381250333
BTMOEMEP,UXSPKBJR,3102,3206,1,0.4710739322404416,0.0018795287493005586
BTMOEMEP,VBYCLTYZ,3102,8505,4,0.5813006422891972,0.00012963384221865602
BTMOEMEP,VMAQSTJE,3102,8527,11,0.4065370527751186,0.023237413411945282
BTMOEMEP,VWMBASNE,3102,2811,12,0.48305561985147627,0.0068521656033440305
BTMOEMEP,WBLJNPZQ,3102,5309,11,0.4549236320892315,0.010130987198005113
BTMOEMEP,WQMVCOEM,3102,2805,4,0.5356493061865972,0.0005289615536338379
BTMOEMEP,XIFHSOWQ,3102,8708,10,0.42757991773717147,0.014645286693191125
BTMOEMEP,XIIEJNEE,3102,3815,2,0.5672230374283179,0.00013532799242800585
BTMOEMEP,XUOIQPFL,3102,5205,1,0.5072360339896655,0.0007124920734873618
BTMOEMEP,YSYHGLQK,3102,2807,12,0.4814897517146011,0.007061956326251543
BUZIIBYG,BJALXPFS,9403,2847,12,0.4933090826767356,0.005604886473875444
BUZIIBYG,BLANHGYY,9403,9022,10,0.46793147492264703,0.006918968650478985
BUZIIBYG,BSRMSVTC,9403,2805,8,0.4926671826441909,0.0030756187158807987
BUZIIBYG,BTMOEMEP,9403,3102,3,0.4879420387280566,0.0016267596243638334
BUZIIBYG,DJBLNPNC,9403,2805,3,0.43334823826747704,0.005854952392064708
BUZIIBYG,FCYBOAXC,9403,3824,12,0.4675288686071478,0.009185321594946613
BUZIIBYG,FDXPMYGF,9403,7907,6,0.574827592938097,0.00024559102799810023
BUZIIBYG,FITUEHWN,9403,8714,10,0.5353428706171801,0.0015925205574686494
BUZIIBYG,FRHNWLNI,9403,2846,4,0.5219284170091498,0.0007771968101853231
BUZIIBYG,FWUCPMMW,9403,2701,3,0.6559138691821791,5.819455947936543e-06
BUZIIBYG,HCDTGMST,9403,6006,10,0.45291616157302866,0.009240252750384358
BUZIIBYG,HXYSSRXE,9403,2836,8,0.47924903339869285,0.004134556101513192
BUZIIBYG,LSOIUSXD,9403,5111,12,0.5780010716479353,0.000822375802122122
BUZIIBYG,LUENUFGA,9403,2833,12,0.45689277072238704,0.011143646614791187
BUZIIBYG,OGAFEHLU,9403,7202,11,0.41155676740818453,0.02143192959531418
BUZIIBYG,PYZMVUWD,9403,3824,8,0.44179205499722035,0.008900741939294205
BUZIIBYG,RCBZUSIM,9403,2805,8,0.599574847935288,0.00017868108325563804
BUZIIBYG,RJGPVEXX,9403,2811,3,0.42533920697159056,0.006947538678788091
BUZIIBYG,ROACSLMG,9403,8505,12,0.525254768494707,0.0028780258170177184
BUZIIBYG,STZDBITS,9403,3815,10,0.4259792301792489,0.015060906257043122
BUZIIBYG,SUOYXCHP,9403,2805,8,0.42062425510552753,0.013248346858546032
BUZIIBYG,UXSPKBJR,9403,3206,2,0.43073505020267466,0.005527519920352945
BUZIIBYG,WBLJNPZQ,9403,5309,7,0.46634298466822,0.004746882407289742
CCLHWFWF,AHMDUILJ,6211,2102,8,0.41167313982859105,0.015562661056864414
CCLHWFWF,ATLDMDBO,6211,2814,10,0.5465964407925051,0.00120885423803562
CCLHWFWF,DBWLZWNK,6211,5602,3,0.4730768536849246,0.0023540371236056073
CCLHWFWF,FCYBOAXC,6211,3824,3,0.5083670031516796,0.000952309522081216
CCLHWFWF,FQCLOEXA,6211,8102,4,0.4125867674296694,0.010046952541496419
CCLHWFWF,JSLXRQOK,6211,5119,7,0.45530619792350085,0.005989757716004736
CCLHWFWF,LLHREMKS,6211,2807,12,0.4283285925952775,0.01820312602760513
CCLHWFWF,LRVGFDFM,6211,3102,12,0.4866886464961476,0.00638570395966891
CCLHWFWF,LSOIUSXD,6211,5111,4,0.5874873689313418,0.0001054035245457481
CCLHWFWF,LTOYKIML,6211,3909,4,0.4127077500015539,0.010022872619995425
CCLHWFWF,MIRCVAMV,6211,4408,10,0.5509964002414559,0.0010824940223748568
CCLHWFWF,OGAFEHLU,6211,7202,3,0.5868188700923036,8.62144692897984e-05
CCLHWFWF,QKXNTIIB,6211,8501,5,0.4117108949651748,0.011348288724451136
CCLHWFWF,QRKRBYJL,6211,2841,12,0.40623905217565587,0.02590926092178474
CCLHWFWF,QVLMOEYE,6211,4202,5,0.4224368929739687,0.009198634169650161
CCLHWFWF,RAWUKQMJ,6211,2916,12,0.41559635240297504,0.022370963035287898
CCLHWFWF,UGEQLMXM,6211,8714,5,0.41411223657259794,0.010833233285106705
CCLHWFWF,VWMBASNE,6211,2811,6,0.678349732637617,5.45607338814885e-06
CCLHWFWF,WBLJNPZQ,6211,5309,9,0.7027474640626006,5.123999366684451e-06
CCLHWFWF,WHPUAOID,6211,5512,6,0.4508118079795448,0.005792045101932932
DBWLZWNK,APQGTRMF,5602,8105,2,0.48314516433593263,0.0015890536323815343
DBWLZWNK,ATLDMDBO,5602,2814,3,0.45143732097291395,0.003918350815218099
DBWLZWNK,AXULOHBQ,5602,5515,7,0.5465556518731339,0.0006814014705526136
DBWLZWNK,BJALXPFS,5602,2847,7,0.4419863588526345,0.00785303763922964
DBWLZWNK,BLANHGYY,5602,9022,5,0.5415588336590372,0.0005371042113605466
DBWLZWNK,BSRMSVTC,5602,2805,10,0.4347658592973225,0.01289568977037692
DBWLZWNK,BTMOEMEP,5602,3102,4,0.5242401486273952,0.0007292369474378626
DBWLZWNK,CCLHWFWF,5602,6211,10,0.550265043267177,0.0011026581912128618
DBWLZWNK,DJBLNPNC,5602,2805,5,0.41048354063568676,0.011619468339896806
DBWLZWNK,DNMPSKTB,5602,2811,8,0.47604909691860753,0.004429216403592061
